title,body
abandonment,"A parent's or custodian's act of leaving a child without adequate care, 
supervision, support or parental contact for an excessive period of time. 
Also, the desertion of one spouse by the other with the intent to terminate 
the marriage relationship.                      "
abstract of record,"A short, abbreviated form of the case as found in the record.                      "
accessory,"A person who assists in the commission of a crime, either before or after 
the fact.                      "
action in personam,"An action against the person, founded on personal  liability , in contrast to action in rem, an action for the recovery of a specific 
object, usually an item of personal property such as an automobile.                    "
adjudication,"Giving or pronouncing a  judgment  or  decree , or the rendering of a decision on a matter before a court.                  "
admissible evidence,Evidence which can legally and properly be used in court.                      
admission,A statement tending to establish the guilt or  liability  of the person making the statement.                    
adversary system,"The system of  trial  practice in the United States and some other countries in which each of 
the opposing, or adversary,  parties  has the opportunity to present and establish opposing contentions before 
the court.                  "
affidavit,"A written and sworn statement witnessed by a notary public or another 
official possessing the authority to administer oaths. Affidavits may be 
admitted into  evidence .                    "
agent,One who has authority to act for another.                      
alibi,"A defense claim that the accused was somewhere else at the time a crime was 
committed.                      "
allegation,"The assertion, declaration, or statement of a party to an action, made in a  pleading , establishing what the party expects to prove.                    "
Alternative Dispute Resolution (ADR),"Methods of resolving disputes outside of official court proceedings. These 
methods include mediation arbitration, and conciliation.                      "
amicus curiae,"A friend of the court; a nonparty who interposes, with the permission of 
the court, and volunteers information upon some matter before the court.                      "
annual review,"Yearly judicial review, usually in juvenile dependency cases, to determine 
whether the child requires continued court supervision or placement.                      "
answer,A  pleading  by which  defendant  responds to the plaintiff's  complaint .                
appeal,"The bringing of a case to a higher court for review of a lower court's 
order or  judgment .                    "
appearance,The formal proceeding by which  defendant  submits to the  jurisdiction  of the court.                  
appellant,The party appealing a final decision or  judgment .                    
appellate court,A court which hears appeals from a lower court.                      
appellate jurisdiction,"The appellate court has the right to review and revise the lower court 
decision.                      "
appellee,The party against whom an  appeal  is taken.                    
arraignment,"In a misdemeanor case, the initial  appearance  before a judge at which the criminal  defendant  enters a  plea ; in a  felony  case, the proceeding after the  indictment  or bindover at which the  defendant  comes before a judge in District Court, is informed of the charges, enters 
a  plea , and has a date set for  trial  or  disposition . In Juvenile Court, the first  hearing  after a  petition  has been filed."
arrest of judgment,Postponing the effect of a  judgment  already entered.                    
assault,A  willful  attempt to illegally inflict injury on or threaten a person.                    
assumption of risk,"In  tort  law, a defense to a personal injury suit. The essence of the defense is 
that the  plaintiff  assumed the known risk of whatever dangerous condition caused the injury.                  "
