id,file_url,title,category,tags,topics,divisions,department
1,https://www.slo.courts.ca.gov/documents/san-luis-obispo/Adopt001.pdf,Adopt 001 - Request for Release of Adoption Records,"AD, CO, and CV Series",,,,
2,https://www.slo.courts.ca.gov/documents/san-luis-obispo/ad01.pdf,AD01 - Financial Statement (Stepparent Adoption),"AD, CO, and CV Series",,,,
3,https://www.slo.courts.ca.gov/documents/san-luis-obispo/Guardianship_Attachment_10.pdf,Attachment 10 - Petition for Appointment of Guardian,"AD, CO, and CV Series",,,,
4,https://www.slo.courts.ca.gov/documents/san-luis-obispo/Request_Duplicate_Electronic_Recording.pdf,CO001 - Request for Duplicate Electronic Recording,"AD, CO, and CV Series",,,,
5,https://www.slo.courts.ca.gov/documents/san-luis-obispo/cvdc04.pdf,CVDC04 - Alternative Dispute Resolution Policy Statement,"AD, CO, and CV Series",,,,
6,https://www.slo.courts.ca.gov/documents/san-luis-obispo/cvdc05.pdf,CVDC05 - Stip to Use of Alternative Dispute Resolution,"AD, CO, and CV Series",,,,
7,https://www.slo.courts.ca.gov/documents/san-luis-obispo/cv006.pdf,CV006 - Amendment to Complaint,"AD, CO, and CV Series",,,,
8,https://www.slo.courts.ca.gov/documents/san-luis-obispo/cvud07.pdf,CVUD07 - Declaration re: Rent & Damages (3-Day Notice),"AD, CO, and CV Series",,,,
9,https://www.slo.courts.ca.gov/documents/san-luis-obispo/cvdf10.pdf,CVDF10 - Request for Default Setting,"AD, CO, and CV Series",,,,
10,https://www.slo.courts.ca.gov/documents/san-luis-obispo/CV011e.pdf,CV011 - Statement of Venue,"AD, CO, and CV Series",,,,
11,https://www.slo.courts.ca.gov/documents/san-luis-obispo/cvlj12.pdf,CVLJ12 - Request for Arbitration & Order,"AD, CO, and CV Series",,,,
12,https://www.slo.courts.ca.gov/documents/san-luis-obispo/csc01.pdf,CSC01 - Request for Discovery Conference,"AD, CO, and CV Series",,,,
13,https://www.slo.courts.ca.gov/documents/san-luis-obispo/csc02.pdf,CSC02 - Answer to Request for Discover Conference,"AD, CO, and CV Series",,,,
14,https://www.slo.courts.ca.gov/documents/san-luis-obispo/DQ-001.pdf,DQ-001 - Disqualification of Judge,Disqualification,,,,
15,https://www.slo.courts.ca.gov/documents/san-luis-obispo/Request_for_Refund2.pdf,Request for Refund,Request for Refund,,,,
16,https://www.slo.courts.ca.gov/documents/san-luis-obispo/Authorization_for_Drop_File-Civil.pdf,Authorization for Drop file - Civil,Request for Attorney Will-Call Drop,,,,
17,https://www.slo.courts.ca.gov/documents/san-luis-obispo/Electronic-Consent.pdf,Electronic Consent,Electronic Consent,,,,
18,https://www.slo.courts.ca.gov/documents/san-luis-obispo/fl001.pdf,FL001 - Schedule of Property (Fredman Form),FL Series,,,,
19,https://www.slo.courts.ca.gov/documents/san-luis-obispo/fl003.pdf,FL003 - Joint At-Issue Memorandum (Family Law),FL Series,,,,
20,https://www.slo.courts.ca.gov/documents/san-luis-obispo/fl004.pdf,FL004 - Certificate of NonCompliance,FL Series,,,,
21,https://www.slo.courts.ca.gov/documents/san-luis-obispo/fl006.pdf,FL006 - Family Law Mediator's Report,FL Series,,,,
22,https://www.slo.courts.ca.gov/documents/san-luis-obispo/fl007.pdf,FL007 - Stipulation & Order Re: Continuance,FL Series,,,,
23,https://www.slo.courts.ca.gov/documents/san-luis-obispo/fl008.pdf,FL008 - Notice of Intent to Introduce,FL Series,,,,
24,https://www.slo.courts.ca.gov/documents/san-luis-obispo/fl009.pdf,FL009 - Order Appointing Child Custody Evaluator Attachment,FL Series,,,,
25,https://www.slo.courts.ca.gov/documents/san-luis-obispo/FL010.pdf,FL010 - Declaration of Notice on Emergency Application for Orders,FL Series,,,,
26,https://www.slo.courts.ca.gov/documents/san-luis-obispo/FL011.pdf,FL011 - Application For Publication,FL Series,,,,
27,https://www.slo.courts.ca.gov/documents/san-luis-obispo/FL012.pdf,FL012 - Order For Publication Of Summons,FL Series,,,,
28,https://www.slo.courts.ca.gov/documents/san-luis-obispo/fl013.pdf,FL013 - Statement of Venue,FL Series,,,,
29,https://www.slo.courts.ca.gov/documents/san-luis-obispo/Request_for_Status_and_or_Family_Centered_Case_Resolution_Conference.pdf,FL014- Request for Status or Family Centered Case Resolution Conference,FL Series,,,,
30,https://www.slo.courts.ca.gov/documents/san-luis-obispo/order_denying_ex_parte_dvpo.pdf,Order Denying Ex Parte Domestic Violence,FL Series,,,,
31,https://www.slo.courts.ca.gov/documents/san-luis-obispo/Pretrial_order_2017.pdf,Pre-trial Order - For Family Law Trials,FL Series,,,,
32,https://www.slo.courts.ca.gov/documents/san-luis-obispo/exhibit_label.pdf,Exhibit Labels,FL Series,,,,
33,https://www.slo.courts.ca.gov/documents/san-luis-obispo/exhibit_list.pdf,Exhibit List,FL Series,,,,
34,https://www.slo.courts.ca.gov/documents/san-luis-obispo/pr001.pdf,PR001 - Declaration,PR and SC Series,,,,
35,https://www.slo.courts.ca.gov/documents/san-luis-obispo/pr002.pdf,PR002 - Notice to Creditors,PR and SC Series,,,,
36,https://www.slo.courts.ca.gov/documents/san-luis-obispo/pr003.pdf,PR003 - Report of Status of Administration,PR and SC Series,,,,
37,https://www.slo.courts.ca.gov/documents/san-luis-obispo/pr004.pdf,PR004 - Raised Bid In Open Court,PR and SC Series,,,,
38,https://www.slo.courts.ca.gov/documents/san-luis-obispo/pr005.pdf,PR005 - Order Granting Report on Status of Administration,PR and SC Series,,,,
