category,title,start_date,end_date,body,rrule,topic1,topic2,topic3,tag1,tag2,tag3
Civil Trial,Ex Partes,01/01/2020,12/31/2020,,"FREQ=WEEKLY;INTERVAL=1;WKST=MO;BYDAY=MO,TU,WE;BYHOUR=8;BYMINUTE=30;BYSECOND=0",,,,Judge Ginger E. Garrett,SLO,Department 2
Civil Trial,Conservatorship/Guardianship Ex Partes,01/01/2020,12/31/2020,,"FREQ=WEEKLY;INTERVAL=1;WKST=MO;BYDAY=FR;BYHOUR=8,9",,,,Judge Ginger E. Garrett,SLO,Department 2
Civil Trial,CMC’s,01/01/2020,12/31/2020,,"FREQ=WEEKLY;INTERVAL=1;WKST=MO;BYDAY=MO,TU,WE;BYHOUR=9",,,,Judge Ginger E. Garrett,SLO,Department 2
Civil Trial,Civil Harassment,01/01/2020,12/31/2020,,"FREQ=WEEKLY;INTERVAL=1;WKST=MO;BYDAY=MO,TU,WE;BYHOUR=9",,,,Judge Ginger E. Garrett,SLO,Department 2
Civil Trial,Unlawful Detainer,01/01/2020,12/31/2020,,"FREQ=WEEKLY;INTERVAL=1;WKST=MO;BYDAY=MO,TU,WE;BYHOUR=9",,,,Judge Ginger E. Garrett,SLO,Department 2
Civil Trial,Trials de Novo,01/01/2020,12/31/2020,,"FREQ=WEEKLY;INTERVAL=1;WKST=MO;BYDAY=MO,TU,WE;BYHOUR=9",,,,Judge Ginger E. Garrett,SLO,Department 2
Civil Trial,Mental Health,01/01/2020,12/31/2020,,"FREQ=WEEKLY;INTERVAL=1;WKST=MO;BYDAY=MO,TU,WE,FR;BYHOUR=9",,,,Judge Ginger E. Garrett,SLO,Department 2
Civil Trial,Law & Motion,01/01/2020,12/31/2020,,FREQ=WEEKLY;INTERVAL=1;WKST=MO;BYDAY=TH;BYHOUR=9,,,,Judge Ginger E. Garrett,SLO,Department 2
Civil Trial,Trials,01/01/2020,12/31/2020,,"FREQ=WEEKLY;INTERVAL=1;WKST=MO;BYDAY=MO,TU,WE,TH;BYHOUR=10,13",,,,Judge Ginger E. Garrett,SLO,Department 2
Civil Trial,Noon Recess,01/01/2020,12/31/2020,,"FREQ=WEEKLY;INTERVAL=1;WKST=MO;BYDAY=MO,TU,WE,TH,FR;BYHOUR=12",,,,Judge Ginger E. Garrett,SLO,Department 2
Civil Trial,Mental Health @ Psychiatric Health Facility (PHF),01/01/2020,12/31/2020,,"FREQ=WEEKLY;INTERVAL=1;WKST=MO;BYDAY=MO,TH;BYHOUR=16",,,,Judge Ginger E. Garrett,SLO,Department 2
Civil Trial,Court Set Only,01/01/2020,12/31/2020,,"FREQ=WEEKLY;INTERVAL=1;WKST=MO;BYDAY=FR;BYHOUR=10,1:30",,,,Judge Ginger E. Garrett,SLO,Department 2
Civil Trial,Ex Partes,01/01/2020,12/31/2020,,"FREQ=WEEKLY;INTERVAL=1;WKST=MO;BYDAY=MO,TH;BYHOUR=8;BYMINUTE=30;BYSECOND=0",,,,Judge Tana L. Coates,SLO,Department 9
Civil Trial,Case Mgmt Conf.,01/01/2020,12/31/2020,,"FREQ=WEEKLY;INTERVAL=1;WKST=MO;BYDAY=MO,TH;BYHOUR=9",,,,Judge Tana L. Coates,SLO,Department 9
Civil Trial,Probate (Estates & Trust),01/01/2020,12/31/2020,,FREQ=WEEKLY;INTERVAL=1;WKST=MO;BYDAY=TU;BYHOUR=9,,,,Judge Tana L. Coates,SLO,Department 9
Civil Trial,Law & Motion (Name Changes),01/01/2020,12/31/2020,,FREQ=WEEKLY;INTERVAL=1;WKST=MO;BYDAY=WE;BYHOUR=9,,,,Judge Tana L. Coates,SLO,Department 9
Civil Trial,Adoptions,01/01/2020,12/31/2020,,"FREQ=WEEKLY;INTERVAL=1;WKST=MO;BYDAY=FR;BYWEEKNO=1,3;BYHOUR=8;BYMINUTE=30;BYSECOND=0",,,,Judge Tana L. Coates,SLO,Department 9
Civil Trial,UD Trials/TROs,01/01/2020,12/31/2020,,FREQ=WEEKLY;INTERVAL=1;WKST=MO;BYDAY=MO;BYHOUR=10,,,,Judge Tana L. Coates,SLO,Department 9
