id,category,file_url,file_title,title,body,date,tags,topics,divisions
1,Announcement,https://www.slo.courts.ca.gov/documents/san-luis-obispo/Emergency-Local-Rule-2_09-REMOTE-APPEARANCES.pdf,Emergency Local Rule 2.09,Remote Court Appearances Via Videoconferencing,,,,,
2,Announcement,https://www.slo.courts.ca.gov/documents/san-luis-obispo/Amendment_Rules_Effective_040620.pdf,Amendments to the California Rules of Court,"Adopted by the Judicial Council on and effective as of April 6, 2020.",,,,,
3,Announcement,https://www.slo.courts.ca.gov/documents/san-luis-obispo/Press_Release_Mar_20_2020.pdf,"Press Release, March 20, 2020",The Superior Court of San Luis Obispo County announces significant reductions to Court operations to mitigate the spread of the COVID-19 virus.,,,,,
4,Announcement,https://www.slo.courts.ca.gov/documents/san-luis-obispo/Press_Release_Mar_18_2020.pdf,"Press Release, March 18, 2020",The Superior Court of San Luis Obispo County&nbsp;announces changes to Court operations to mitigate the spread of the COVID‐19 virus.,,,,,
5,Announcement,https://www.slo.courts.ca.gov/documents/san-luis-obispo/Press-Release-Mar-16-2020.pdf,"Press Release, March 16, 2020",The Superior Court of San Luis Obispo County announces its plan to mitigate the spread of the COVID-19 virus.,,,,,
6,Announcement,https://www.slo.courts.ca.gov/documents/san-luis-obispo/Family-Law-Dept-Notice-0407-2020.pdf,Family Law Dept Notice,"As of April 7, 2020.",,,,,
7,Announcement,https://www.slo.courts.ca.gov/documents/san-luis-obispo/Notice-re-Management-of-Civil-Cases-under-AO-10-21.pdf,Notice re Management of Civil Cases under AO 20-01,Notice re Management of Civil Cases under AO 20-01,,,,,
8,Announcement,https://www.slo.courts.ca.gov/documents/san-luis-obispo/Administrative-Order-20-01.pdf,Administrative Order (A0) 20-01,Administrative Order (A0) 20-01,,,"cowboy, bebop","aloha, milky way",
9,Announcement,https://www.slo.courts.ca.gov/documents/san-luis-obispo/Emergency-Order-SLO-16-Mar-2020.pdf,Emergency Order - SLO 16 Mar 2020,Emergency Order - SLO 16 Mar 2020,,,,,
10,Announcement,https://www.slo.courts.ca.gov/documents/san-luis-obispo/Self-Help-FLF-Schedule-as-of-3-April-2020.pdf,"Self Help-FLF Schedule,As of April 3, 2020.","Self Help-FLF Schedule,As of April 3, 2020.",,,,,
11,Announcement,https://www.slo.courts.ca.gov/documents/san-luis-obispo/Statewide-Order-by-Chief-Justice-Chair-3-23-2020.pdf,Statewide Order,Statewide Order,,,,,
12,Announcement,,,Family Law Court Reporter Coverage,"<p>Due to budgetary constraints and effective immediately, court reporters will no longer be supplied by the court in any family law matter at any branch of the court in San Luis Obispo County. If you have paid any fees in advance to have a court reporter available, you may fill out a <a href=""/documents/san-luis-obispo/Request_for_Refund2.pdf?1589248128747"" target=""_blank"" class=""iconPDFLeft"">Request for Refund</a> form to receive a refund. Please feel free to contact the family law department at <span style=""font-family:calibri,sans-serif""><span style=""font-size:11.0pt"">(805) 706-3600</span></span>&nbsp;should you have any questions.</p>",,,,
13,Announcement,,,"NOTICE OF FY 2018/19 COURT SPECIFIC ALLOCATIONS APPROVED BY THE JUDICIAL
COUNCIL AT THEIR JULY 20, 2018 MEETING","<p>At its July 20, 2018 business meeting, the Judicial Council made
2018-19 Trial Court Trust Fund and General Fund allocations to the trial
 courts. California Rule of Court 10.620(f) requires trial courts to
provide notice no later than 15 court days after “[r]eceipt of the
annual allocation of the trial court budget from the Judicial Council
after enactment of the Budget Act.” The links below provide this
information.</p>

<ul>
        <li><a href=""https://jcc.legistar.com/View.ashx?M=F&amp;ID=6353562&amp;GUID=974B4384-C082-473B-9395-78256248329F"" target=""_blank"" class=""iconArrowRight"">Trial Court Budget: 2018-19 Allocations from State Trial Court Improvement and Modernization Fund and Trial Court Trust Fund</a></li>
        <li><a href=""https://jcc.legistar.com/View.ashx?M=F&amp;ID=6353563&amp;GUID=B6C7B821-0722-4663-B27A-A23B367148E2"" target=""_blank"" class=""iconArrowRight"">Trial Court Budget: 2018-19 Trial Court Base Allocations</a></li>
        <li><a href=""https://jcc.legistar.com/View.ashx?M=F&amp;ID=6353553&amp;GUID=8E4E70A4-D21F-4033-9F98-635D5C8A8B8D"" target=""_blank"" class=""iconArrowRight"">Trial Court Budget: Fiscal Year 2018-19 Allocation of Court-Appointed Juvenile Dependency Counsel Funding</a><br>
        &nbsp;</li>
</ul>",,,,
