parent_url,parent_rfp_title,file_url,file_basename,file_media_base_name,media_label,field_tags,field_document_type,field_category,delta
http://www.courts.ca.gov/75142.htm,"Employee Assistance Program, RFP-HR-2023-LV-Employee-Assistance-Program",https://www.courts.ca.gov/documents/HR-2023-02-Employee-Assistance-Program-Intent-To-Award.pdf,HR-2023-02-Employee-Assistance-Program-Intent-To-Award.pdf,Notice of the Intent to Award,"HR-2023-02-Employee-Assistance-Program-Intent-To-Award.pdf - Employee Assistance Program, RFP-HR-2023-LV-Employee-Assistance-Program - Notice of the Intent to Award",2023,Request (RFP) document,Request (RFP),12
http://www.courts.ca.gov/75142.htm,"Employee Assistance Program, RFP-HR-2023-LV-Employee-Assistance-Program",https://www.courts.ca.gov/documents/RFP-HR-2023-02-EAP-QA.pdf,RFP-HR-2023-02-EAP-QA.pdf,Questions and Answers,"RFP-HR-2023-02-EAP-QA.pdf - Employee Assistance Program, RFP-HR-2023-LV-Employee-Assistance-Program - Questions and Answers",2023,Request (RFP) document,Request (RFP),11
http://www.courts.ca.gov/75142.htm,"Employee Assistance Program, RFP-HR-2023-LV-Employee-Assistance-Program",https://www.courts.ca.gov/documents/RFP-HR-2023-02-LV-Attachment-1-Administrative-Rules-Governing-RFPS.pdf,RFP-HR-2023-02-LV-Attachment-1-Administrative-Rules-Governing-RFPS.pdf,Administrative Rules Governing RFPs (Non-IT Services),"RFP-HR-2023-02-LV-Attachment-1-Administrative-Rules-Governing-RFPS.pdf - Employee Assistance Program, RFP-HR-2023-LV-Employee-Assistance-Program - Administrative Rules Governing RFPs (Non-IT Services)",2023,Request (RFP) document,Request (RFP),2
http://www.courts.ca.gov/75142.htm,"Employee Assistance Program, RFP-HR-2023-LV-Employee-Assistance-Program",https://www.courts.ca.gov/documents/RFP-HR-2023-02-LV-Attachment-2-Standard-Terms-and-Conditions.pdf,RFP-HR-2023-02-LV-Attachment-2-Standard-Terms-and-Conditions.pdf,JBE Standard Terms and Conditions,"RFP-HR-2023-02-LV-Attachment-2-Standard-Terms-and-Conditions.pdf - Employee Assistance Program, RFP-HR-2023-LV-Employee-Assistance-Program - JBE Standard Terms and Conditions",2023,Request (RFP) document,Request (RFP),3
http://www.courts.ca.gov/75142.htm,"Employee Assistance Program, RFP-HR-2023-LV-Employee-Assistance-Program",https://www.courts.ca.gov/documents/RFP-HR-2023-02-LV-Attachment-3-Proposers-Acceptance-Terms-and-Conditions.docx,RFP-HR-2023-02-LV-Attachment-3-Proposers-Acceptance-Terms-and-Conditions.docx,Proposer’s Acceptance of Terms and Conditions,"RFP-HR-2023-02-LV-Attachment-3-Proposers-Acceptance-Terms-and-Conditions.docx - Employee Assistance Program, RFP-HR-2023-LV-Employee-Assistance-Program - Proposer’s Acceptance of Terms and Conditions",2023,Request (RFP) document,Request (RFP),4
http://www.courts.ca.gov/75142.htm,"Employee Assistance Program, RFP-HR-2023-LV-Employee-Assistance-Program",https://www.courts.ca.gov/documents/RFP-HR-2023-02-LV-Attachment-4-General-Certification.docx,RFP-HR-2023-02-LV-Attachment-4-General-Certification.docx,General Certifications Form,"RFP-HR-2023-02-LV-Attachment-4-General-Certification.docx - Employee Assistance Program, RFP-HR-2023-LV-Employee-Assistance-Program - General Certifications Form",2023,Request (RFP) document,Request (RFP),5
http://www.courts.ca.gov/75142.htm,"Employee Assistance Program, RFP-HR-2023-LV-Employee-Assistance-Program",https://www.courts.ca.gov/documents/RFP-HR-2023-02-LV-Attachment-5-Darfur-Certification.docx,RFP-HR-2023-02-LV-Attachment-5-Darfur-Certification.docx,Darfur Contracting Act Certification,"RFP-HR-2023-02-LV-Attachment-5-Darfur-Certification.docx - Employee Assistance Program, RFP-HR-2023-LV-Employee-Assistance-Program - Darfur Contracting Act Certification",2023,Request (RFP) document,Request (RFP),6
http://www.courts.ca.gov/75142.htm,"Employee Assistance Program, RFP-HR-2023-LV-Employee-Assistance-Program",https://www.courts.ca.gov/documents/RFP-HR-2023-02-LV-Attachment-6-Payee-Data-Record-204.pdf,RFP-HR-2023-02-LV-Attachment-6-Payee-Data-Record-204.pdf,Payee Data Record Form (STD 204),"RFP-HR-2023-02-LV-Attachment-6-Payee-Data-Record-204.pdf - Employee Assistance Program, RFP-HR-2023-LV-Employee-Assistance-Program - Payee Data Record Form (STD 204)",2023,Request (RFP) document,Request (RFP),7
http://www.courts.ca.gov/75142.htm,"Employee Assistance Program, RFP-HR-2023-LV-Employee-Assistance-Program",https://www.courts.ca.gov/documents/RFP-HR-2023-02-LV-Attachment-7-Payee-Data-Record-205.pdf,RFP-HR-2023-02-LV-Attachment-7-Payee-Data-Record-205.pdf,Payee Data Record Supplement (STD 205),"RFP-HR-2023-02-LV-Attachment-7-Payee-Data-Record-205.pdf - Employee Assistance Program, RFP-HR-2023-LV-Employee-Assistance-Program - Payee Data Record Supplement (STD 205)",2023,Request (RFP) document,Request (RFP),8
http://www.courts.ca.gov/75142.htm,"Employee Assistance Program, RFP-HR-2023-LV-Employee-Assistance-Program",https://www.courts.ca.gov/documents/RFP-HR-2023-02-LV-Attachment-8-Bidder-Declaration.docx,RFP-HR-2023-02-LV-Attachment-8-Bidder-Declaration.docx,Bidder Declaration,"RFP-HR-2023-02-LV-Attachment-8-Bidder-Declaration.docx - Employee Assistance Program, RFP-HR-2023-LV-Employee-Assistance-Program - Bidder Declaration",2023,Request (RFP) document,Request (RFP),9
