id,field_roc_rule_index_id,field_rule_index_section_label,parent_section_by_label,parent_entity_id,field_rule_index_section_content,,,,,,,,
one__chapter_1__preliminary_rules__2,one,Chapter 1. Preliminary Rules,,,Rule 1.1. The California Rules of Court::Rule 1.2. Title::Rule 1.3. Authority::Rule 1.4. Contents of the rules::Rule 1.5. Construction of rules and standards::Rule 1.6. Definitions and use of terms,,,,,,,,Chapter 1. Preliminary Rules
one__chapter_2__timing_and_holidays__3,one,Chapter 2. Timing and Holidays,,,Rule 1.10. Time for actions::Rule 1.11. Holiday falling on a Saturday or Sunday,,,,,,,,Chapter 2. Timing and Holidays
one__chapter_3__service_and_filing__4,one,Chapter 3. Service and Filing,,,Rule 1.20. Effective Date of Filing::Rule 1.21. Service::Rule 1.22. Recycled paper [Repealed],,,,,,,,Chapter 3. Service and Filing
one__chapter_4__judicial_council_forms__5,one,Chapter 4. Judicial Council Forms,,,Rule 1.30. Judicial Council forms::Rule 1.31. Mandatory forms::Rule 1.35. Optional forms::Rule 1.37. Use of forms::Rule 1.40. Statutory references on forms::Rule 1.41. Proofs of service on forms::Rule 1.42. Forms not to be rejected::Rule 1.43. Legibility::Rule 1.44. Electronically produced forms::Rule 1.45. Judicial Council pleading forms::Rule 1.51. California Law Enforcement Telecommunications System (CLETS) information form,,,,,,,,Chapter 4. Judicial Council Forms
one__chapter_5__accommodations__6,one,Chapter 5. Accommodations,,,Rule 1.100. Requests for accommodations by persons with disabilities,,,,,,,,Chapter 5. Accommodations
one__chapter_6__public_access_to_court_proceedings__7,one,Chapter 6. Public Access to Court Proceedings,,,"Rule 1.150. Photographing, recording, and broadcasting in court",,,,,,,,Chapter 6. Public Access to Court Proceedings
one__chapter_7__form_and_format_of_papers__8,one,Chapter 7. Form and Format of Papers,,,Rule 1.200. Format of citations::Rule 1.201. Protection of privacy,,,,,,,,Chapter 7. Form and Format of Papers
one__chapter_8__language_access_services__9,one,Chapter 8. Language Access Services,,,"Rule 1.300. Access to programs, services, and professionals",,,,,,,,Chapter 8. Language Access Services
two__division_1__general_provisions__10,two,Division 1. General Provisions,,,,,,,,,,,Division 1. General Provisions
two__chapter_1__title_and_application__11,two,Chapter 1. Title and Application,Division 1. General Provisions,two__division_1__general_provisions__10,Rule 2.1. Title2.251::Rule 2.2. Application,,,,,,,,Chapter 1. Title and Application
two__chapter_2__definitions_and_scope_of_rules__12,two,Chapter 2. Definitions and Scope of Rules,Division 1. General Provisions,two__division_1__general_provisions__10,Rule 2.3. Definitions::Rule 2.10. Scope of rules,,,,,,,,Chapter 2. Definitions and Scope of Rules
two__chapter_3__timing__13,two,Chapter 3. Timing,Division 1. General Provisions,two__division_1__general_provisions__10,Rule 2.20. Application for an order extending time,,,,,,,,Chapter 3. Timing
