"name","nsmi_code","uuid","parent_uuid"
"Attorneys / Legal Services","2010000","f1d407f0-4a8c-4dbd-9811-6e7925977fca",""
"Attorney Fees","2010200","23def610-b42e-460c-a577-ae08b2c76384","f1d407f0-4a8c-4dbd-9811-6e7925977fca"
"Consent Decree/Settlements","2010203","b533d467-bfb6-4663-8933-814685858726","23def610-b42e-460c-a577-ae08b2c76384"
"Costs Allowed","2010204","eb232ffa-6cef-4a17-95d6-48d859ccc907","23def610-b42e-460c-a577-ae08b2c76384"
"Hourly Rates","2010202","905d3bb0-9f2f-4cb2-b5fe-b6ba9d373399","23def610-b42e-460c-a577-ae08b2c76384"
"Lodestar","2010201","88b560cb-35d9-4b56-afd4-38f5a05a4694","23def610-b42e-460c-a577-ae08b2c76384"
"Other Attorney Fees","2010299","7ee5b1ad-53be-405a-be79-40568a7652db","23def610-b42e-460c-a577-ae08b2c76384"
"Prevailing Party","2010206","97e702e9-91d6-455a-a172-2d2db1bcdd47","23def610-b42e-460c-a577-ae08b2c76384"
"Substantially Justified Position","2010205","6956ec4f-bbf3-4973-8655-b3630e0e0031","23def610-b42e-460c-a577-ae08b2c76384"
"Attorney/Client Privilege","2010100","51eefbf6-600e-4441-bc12-ff2842c9eb12","f1d407f0-4a8c-4dbd-9811-6e7925977fca"
"Community Resources","2011900","aea3bb5f-f9d1-44b2-8d3d-e939150039bc","f1d407f0-4a8c-4dbd-9811-6e7925977fca"
"Conflicts of Interest","2010300","738cc396-d9c9-4d4a-949c-2df259507bba","f1d407f0-4a8c-4dbd-9811-6e7925977fca"
"Equal Access to Justice Act","2010400","cafcbdd6-bc76-4e8a-a950-3d36c89b8acf","f1d407f0-4a8c-4dbd-9811-6e7925977fca"
"Ethical Issues","2011400","fc776d67-fa91-48e6-91d5-74c3969de320","f1d407f0-4a8c-4dbd-9811-6e7925977fca"
"Bias","2011401","5c1f6f58-10e1-4553-a32d-8c3e1191daa4","fc776d67-fa91-48e6-91d5-74c3969de320"
"Ethics","2011402","fdcfaaf6-3b37-49b2-8945-fa4f4d995361","fc776d67-fa91-48e6-91d5-74c3969de320"
"Other Ethical Issues","2011499","5762fba7-c2d0-4f24-8d4c-f523388d24f8","fc776d67-fa91-48e6-91d5-74c3969de320"
"Government Relations","2011800","5243ecce-d791-4f83-8ba8-bec932fc44a3","f1d407f0-4a8c-4dbd-9811-6e7925977fca"
"Interest on Lawyers Trust Accounts (IOLTA)","2010500","544dd1f3-73b7-4959-8eb6-c4e336168fb5","f1d407f0-4a8c-4dbd-9811-6e7925977fca"
"International Legal Aid","2011500","3e045716-0b6d-4ce9-abb5-a868302fa7ce","f1d407f0-4a8c-4dbd-9811-6e7925977fca"
"Law Students","2012000","e51190bc-7d30-4716-ac59-d7301048c042","f1d407f0-4a8c-4dbd-9811-6e7925977fca"
